car_name,model,mileage(Km),year,condition,price(₦)
Lexus,Rx,146929,2007,NigerianUsed,4042000
Toyota,Corolla,250845,2004,NigerianUsed,1914000
Honda,Accord,150803,1998,NigerianUsed,682000
Toyota,Sienna,198548,2004,NigerianUsed,1242000
Toyota,Sienna,84785,2009,NigerianUsed,1914000
Toyota,Venza,104350,2013,NigerianUsed,4602000
Toyota,Sienna,124042,2011,NigerianUsed,4266000
Toyota,Highlander,38411,2012,NigerianUsed,11210000
Mercedes-Benz,C200,72811,2008,NigerianUsed,1802000
Lexus,Rx,182680,2006,NigerianUsed,2586000
Mercedes-Benz,C250,145284,2012,ForeignUsed,6730000
Honda,City,155890,2006,NigerianUsed,1130000
Toyota,Matrix,209500,2004,NigerianUsed,1522000
Toyota,Corolla,236697,2005,NigerianUsed,1690000
Hyundai,Tucson,20421,2019,NigerianUsed,11210000
Mercedes-Benz,C350,121195,2008,NigerianUsed,3146000
Mercedes,Benz,107525,2017,ForeignUsed,31370000
Peugeot,406,172268,2003,NigerianUsed,1466000
Toyota,Camry,254441,1997,NigerianUsed,682000
Toyota,Fj,98405,2007,NigerianUsed,3930000
Toyota,Camry,141859,2004,NigerianUsed,1354000
Toyota,Corolla,14372,2017,ForeignUsed,6506000
Mercedes-Benz,C250,57309,2014,ForeignUsed,6730000
Toyota,Camry,93616,2006,NigerianUsed,1354000
Honda,Civic,300902,2001,NigerianUsed,682000
Toyota,Corolla,167911,2005,NigerianUsed,1578000
BMW,5,163194,2008,ForeignUsed,4266000
Volkswagen,Passat,147036,2008,NigerianUsed,1018000
Toyota,Camry,178991,2004,NigerianUsed,1690000
Lexus,Rx,179668,2005,NigerianUsed,2810000
Honda,Accord,159936,2001,NigerianUsed,536400
Peugeot,206,85141,2003,NigerianUsed,1410000
BMW,5,312824,2003,NigerianUsed,1186000
Land,Rover,127165,2011,ForeignUsed,9754000
Kia,Rio,41178,2014,NigerianUsed,2138000
Toyota,Camry,115093,2012,NigerianUsed,3482000
Toyota,Camry,136684,2007,NigerianUsed,2138000
Volvo,Xc90,237158,2005,NigerianUsed,1264400
Lexus,Rx,39496,2016,NigerianUsed,12330000
Lexus,Rx,143021,2004,NigerianUsed,2586000
Honda,Jazz,219653,2005,NigerianUsed,1354000
Jeep,Compass,173790,2007,ForeignUsed,2250000
Mercedes-Benz,E500,55310,2004,NigerianUsed,1130000
Volkswagen,TRANSP,312471,2005,NigerianUsed,1690000
TOYOTA,Camry,271519,2001,NigerianUsed,850000
Toyota,Camry,233081,2004,NigerianUsed,1410000
Kia,Sportage,96089,2012,NigerianUsed,4154000
Infiniti,Qx,277566,1999,NigerianUsed,570000
Lexus,Rx,144561,2000,NigerianUsed,1757200
Toyota,Highlander,241359,2005,NigerianUsed,2306000
Toyota,Venza,139308,2010,NigerianUsed,5050000
Lexus,Rx,138387,2008,NigerianUsed,3034000
Honda,Accord,64469,2015,NigerianUsed,5106000
Ford,Edge,99323,2008,NigerianUsed,1914000
Ford,Focus,12678,1999,ForeignUsed,1522000
Volkswagen,Passat,90171,2006,NigerianUsed,1018000
Lexus,Rx,219213,2000,NigerianUsed,1466000
Lexus,GS,143692,2007,NigerianUsed,2474000
Land,Rover,94428,0,NigerianUsed,2922000
Chevrolet,Trax,44879,2015,ForeignUsed,6506000
Kia,Soul,172520,2011,ForeignUsed,2922000
Hyundai,Elantra,77338,2011,ForeignUsed,3482000
Mazda,Cx-7,146586,2011,ForeignUsed,4378000
Renault,Scenic,1,2003,NigerianUsed,458000
Toyota,Venza,124630,2009,NigerianUsed,4322000
Toyota,Sienna,104854,2004,NigerianUsed,1466000
Ford,Explorer,99924,2014,NigerianUsed,3706000
Lexus,Rx,200241,2004,NigerianUsed,2754000
Toyota,Corolla,318417,2009,New,1802000
Mercedes-Benz,Ml350,155453,2006,NigerianUsed,3370000
Ford,Focus,347567,2001,NigerianUsed,592400
Peugeot,307,99152,2007,NigerianUsed,738000
Land,Rover,151210,2007,ForeignUsed,4490000
Mercedes-Benz,E200,999999,1990,NigerianUsed,458000
Honda,Accord,99999,2004,NigerianUsed,850000
Toyota,Rav4,146182,2009,NigerianUsed,2026000
Lexus,Rx,152386,2008,ForeignUsed,4490000
Kia,Sportage,23915,2010,NigerianUsed,2250000
Mercedes-Benz,GLK,125206,2014,NigerianUsed,6842000
Dodge,Journey,70139,2015,NigerianUsed,5050000
Lexus,Es,73643,2007,ForeignUsed,4098000
BMW,X1,136590,2014,ForeignUsed,8410000
Toyota,Sienna,232320,2002,NigerianUsed,1354000
Toyota,Rav4,65504,2017,ForeignUsed,11658000
Peugeot,807,742383,2004,NigerianUsed,1130000
Ssangyong,Rexton,121282,2008,NigerianUsed,1130000
Land,Rover,65965,2008,NigerianUsed,5050000
Toyota,Tundra,148835,2007,NigerianUsed,7850000
Kia,Carens,298445,2002,NigerianUsed,491600
Mercedes-Benz,Ml350,164059,2013,NigerianUsed,12330000
Mercedes-Benz,C300,109027,2011,ForeignUsed,4938000
