make,mileage(Km),year,condition,price(₦)
 Honda Accord,203690,1999, Nigerian Used  ," 626,000                                        
                                    "
 Mercedes-Benz E350,86233,2006, Nigerian Used  ," 2,026,000                                        
                                    "
 Toyota Corolla,299999,2003, Nigerian Used  ," 1,690,000                                        
                                    "
 Toyota Venza,67505,2013, Foreign Used  ," 8,074,000                                        
                                    "
 Toyota Yaris,90740,2014, Nigerian Used  ," 1,578,000                                        
                                    "
 Lexus Es 330,243959,2004, Nigerian Used  ," 2,250,000                                        
                                    "
 Mazda Cx-9,131581,2007, Foreign Used  ," 3,258,000                                        
                                    "
 Mazda Cx-9,121752,2008, Foreign Used  ," 2,810,000                                        
                                    "
 Toyota Sienna,154105,2000, Nigerian Used  ," 794,000                                        
                                    "
 Toyota Camry,139559,2003, Nigerian Used  ," 1,690,000                                        
                                    "
 Hyundai Santamo,236342,1999, Nigerian Used  ," 682,000                                        
                                    "
 Toyota Venza,123525,2009, Nigerian Used  ," 5,050,000                                        
                                    "
 Honda Accord,98568,2003, Nigerian Used  ," 514,000                                        
                                    "
 Infiniti Qx,212718,1998, Nigerian Used  ," 1,130,000                                        
                                    "
 Nissan Pathfinder,323537,2006, Nigerian Used  ," 1,354,000                                        
                                    "
 Toyota 4Runner,139118,2004, Nigerian Used  ," 1,746,000                                        
                                    "
 Nissan Sentra,59567,2013, Nigerian Used  ," 1,914,000                                        
                                    "
 Toyota Corolla,54235,2010, Foreign Used  ," 4,154,000                                        
                                    "
 Lexus Rx 350,103350,2012, Nigerian Used  ," 7,066,000                                        
                                    "
 Ford Edge,215034,2007, Foreign Used  ," 3,594,000                                        
                                    "
 Ford Explorer,93798,2011, Nigerian Used  ," 3,930,000                                        
                                    "
 Lexus Rx 350,222062,2007, Nigerian Used  ," 3,706,000                                        
                                    "
 Chevrolet Aveo,136309,2009, Nigerian Used  ," 738,000                                        
                                    "
 Honda Odyssey,72390,2014, Nigerian Used  ," 6,730,000                                        
                                    "
 Lexus Is 250,172691,2006, Nigerian Used  ," 2,138,000                                        
                                    "
 Honda Accord,111209,2009, Nigerian Used  ," 1,690,000                                        
                                    "
 Nissan Pathfinder,177661,2005, Foreign Used  ," 1,690,000                                        
                                    "
 Toyota Corolla,178658,2008, Nigerian Used  ," 1,970,000                                        
                                    "
 Nissan Xterra,160102,2002, Nigerian Used  ," 514,000                                        
                                    "
 Toyota Matrix,209167,2007, Foreign Used  ," 2,754,000                                        
                                    "
 Renault Duster,82123,2012, Nigerian Used  ," 1,690,000                                        
                                    "
 Toyota Highlander,214995,2004, Nigerian Used  ," 2,698,000                                        
                                    "
 Honda Accord,64909,2010, Nigerian Used  ," 2,250,000                                        
                                    "
Toyota Rav4 ,83279,2008, Nigerian Used  ," 3,216,250                                        
                                    "
 Toyota Highlander,335343,2008, Nigerian Used  ," 5,162,000                                        
                                    "
 Toyota Avensis,181851,2007, Nigerian Used  ," 1,466,000                                        
                                    "
 Toyota Corolla,111372,2003, Nigerian Used  ," 2,250,000                                        
                                    "
 Toyota Corolla,120024,2008, Nigerian Used  ," 1,466,000                                        
                                    "
 Mercedes-Benz GL450,83432,2009, Nigerian Used  ," 4,154,000                                        
                                    "
 Hyundai Tucson,159945,2009, Nigerian Used  ," 1,690,000                                        
                                    "
 Volkswagen Touareg,110532,2012, Nigerian Used  ," 4,602,000                                        
                                    "
Honda Accord ,26314,2016, Nigerian Used  ," 4,490,000                                        
                                    "
 Hyundai I10,96875,2015, Nigerian Used  ," 1,914,000                                        
                                    "
 Toyota Rav4,2198832,2004, Nigerian Used  ," 1,130,000                                        
                                    "
 Mercedes-Benz E550,132304,2010, Nigerian Used  ," 7,290,000                                        
                                    "
 Toyota Solara,216895,2004, Nigerian Used  ," 1,018,000                                        
                                    "
 Toyota Camry,141311,2010, Foreign Used  ," 3,930,000                                        
                                    "
 Toyota Sienna,164461,2005, Foreign Used  ," 2,810,000                                        
                                    "
 Nissan Almera,120512,2003, Nigerian Used  ," 906,000                                        
                                    "
 Toyota Camry,86280,2015, Nigerian Used  ," 5,162,000                                        
                                    "
Honda Accord ,457722,2003, Nigerian Used  ," 651,250                                        
                                    "
 Toyota Camry,186515,2010, Foreign Used  ," 4,266,000                                        
                                    "
 Toyota Sequoia,208558,2001, Nigerian Used  ," 1,018,000                                        
                                    "
 Toyota Corolla,125482,2006, Foreign Used  ," 2,250,000                                        
                                    "
 Toyota Corolla,185416,2004, Nigerian Used  ," 1,186,000                                        
                                    "
 Hyundai Ix35,79709,2011, Nigerian Used  ," 3,370,000                                        
                                    "
 Honda Accord,96759,2014, Foreign Used  ," 4,154,000                                        
                                    "
 Toyota Camry,207749,2003, Nigerian Used  ," 1,130,000                                        
                                    "
 Toyota 4Runner,199322,2003, Nigerian Used  ," 1,802,000                                        
                                    "
 Toyota Camry,267900,2003, Nigerian Used  ," 1,354,000                                        
                                    "
 Lexus Rx 300,80580,2002, Nigerian Used  ," 1,578,000                                        
                                    "
 Toyota Corolla,99998,2004, Nigerian Used  ," 1,466,000                                        
                                    "
 Toyota Camry,782339,2000, Nigerian Used  ," 1,018,000                                        
                                    "
 Nissan Maxima,133985,2010, Nigerian Used  ," 2,250,000                                        
                                    "
 Toyota Camry,1212,2009,   ," 2,474,000                                        
                                    "
 Toyota Corolla,186882,2006, Nigerian Used  ," 2,026,000                                        
                                    "
 Toyota Corolla,293941,2005, Nigerian Used  ," 1,690,000                                        
                                    "
 Toyota Hilux,185889,2008, Nigerian Used  ," 4,266,000                                        
                                    "
 Lexus Rx 350,185228,2011, Nigerian Used  ," 11,210,000                                        
                                    "
 Toyota Sienna,209111,2004, Nigerian Used  ," 1,354,000                                        
                                    "
 Nissan Xterra,166299,2006, Nigerian Used  ," 1,130,000                                        
                                    "
 Toyota Corolla,218877,2003, Nigerian Used  ," 1,914,000                                        
                                    "
 Nissan Primera,111704,2002, Nigerian Used  ," 861,200                                        
                                    "
 Toyota Camry,101277,2007, Nigerian Used  ," 1,690,000                                        
                                    "
 Peugeot 307,212056,2004, Nigerian Used  ," 1,410,000                                        
                                    "
 Mercedes-Benz Ml320,122264,2001, Nigerian Used  ," 1,074,000                                        
                                    "
 Hyundai Elantra,108531,2013, Nigerian Used  ," 2,810,000                                        
                                    "
 Toyota Camry,261870,2003, Nigerian Used  ," 838,800                                        
                                    "
 Toyota Avalon,86147,2007, Foreign Used  ," 2,362,000                                        
                                    "
 Lexus Rx 350,97795,2007, Foreign Used  ," 4,490,000                                        
                                    "
 Ford Explorer,132930,2011, Foreign Used  ," 6,170,000                                        
                                    "
 Toyota Matrix,118596,2009, Nigerian Used  ," 2,698,000                                        
                                    "
 Nissan Pathfinder,167410,2002, Nigerian Used  ," 794,000                                        
                                    "
 Nissan Xterra,184194,2004, Nigerian Used  ," 738,000                                        
                                    "
 Toyota Fj Cruiser,89455,2007, Nigerian Used  ," 5,050,000                                        
                                    "
 Mercedes-Benz C240,142487,2004, Nigerian Used  ," 906,000                                        
                                    "
 Toyota Yaris,114550,2007, Nigerian Used  ," 1,074,000                                        
                                    "
 Toyota Camry,156479,2007, Nigerian Used  ," 2,474,000                                        
                                    "
 Toyota Highlander,131960,2002, Nigerian Used  ," 1,802,000                                        
                                    "
 Lexus Rx 330,292570,2004, Nigerian Used  ," 3,594,000                                        
                                    "
 Toyota Sienna,78472,2004, Nigerian Used  ," 1,690,000                                        
                                    "
 Toyota Corolla,101182,2011, Nigerian Used  ," 2,474,000                                        
                                    "
 Honda Accord,169945,2003, Nigerian Used  ," 906,000                                        
                                    "
 Toyota Sienna,268559,2002, Nigerian Used  ," 906,000                                        
                                    "
 Mercedes-Benz C300,194912,2008, Nigerian Used  ," 3,370,000                                        
                                    "
 Honda Accord,46136,2010, Nigerian Used  ," 2,474,000                                        
                                    "
 Mazda 626,293913,1996, Nigerian Used  ," 402,000                                        
                                    "
