make,mileage(Km),year,condition,price(₦)
 Hyundai Sonata,221823,2012, Foreign Used  ," 3,845,000                                        
                                    "
 Toyota Corolla,126406,2009, Foreign Used  ," 2,810,000                                        
                                    "
 MERCEDES BENZ C 240,79656,2002, Nigerian Used  ," 1,482,500                                        
                                    "
 Mercedes-Benz Ml350,212301,2009, Nigerian Used  ," 3,385,000                                        
                                    "
 Acura Mdx,228505,2002, Nigerian Used  ," 1,257,500                                        
                                    "
 Toyota Sienna,211674,2007, Nigerian Used  ," 2,270,000                                        
                                    "
 Honda Accord Crosstour,119548,2010, Foreign Used  ," 4,266,000                                        
                                    "
 Mercedes-Benz Ml350,102351,2010, Nigerian Used  ," 3,395,000                                        
                                    "
 Mercedes-Benz E350,98169,2010, Foreign Used  ," 5,946,000                                        
                                    "
 Toyota Camry,79380,2012, Foreign Used  ," 4,295,000                                        
                                    "
 Toyota Rav4,67198,2008, Nigerian Used  ," 2,101,250                                        
                                    "
 Pontiac SALOON,33594,2007, Nigerian Used  ," 2,250,000                                        
                                    "
 Toyota Sienna,36751,2004, Nigerian Used  ," 1,130,000                                        
                                    "
 Landrover Range Rover Sports,128518,2009, Nigerian Used  ," 4,826,000                                        
                                    "
 Toyota Venza,82991,2012, Nigerian Used  ," 5,498,000                                        
                                    "
 Mercedes-Benz C200,289577,2001, Nigerian Used  ," 863,750                                        
                                    "
 Lexus Ls,124034,2007, Foreign Used  ," 3,395,000                                        
                                    "
 Ford Edge,198387,2010, Foreign Used  ," 3,146,000                                        
                                    "
 Skoda Octavia,56247,2014, Nigerian Used  ," 3,370,000                                        
                                    "
 Volkswagen Passat,40029,2009, Nigerian Used  ," 976,250                                        
                                    "
 Lexus Gx 470,71648,2007, Nigerian Used  ," 4,490,000                                        
                                    "
 Toyota Camry,152918,2008, Foreign Used  ," 2,776,250                                        
                                    "
 Toyota Land Cruiser,105207,2001, Nigerian Used  ," 2,270,000                                        
                                    "
 Toyota Camry,182144,2007, Nigerian Used  ," 1,802,000                                        
                                    "
 Mercedes-Benz GLC 300,23112,2016, Nigerian Used  ," 13,520,000                                        
                                    "
 Nissan Armada,93279,2004, Nigerian Used  ," 1,145,000                                        
                                    "
 Toyota Highlander,196343,2012, Nigerian Used  ," 5,610,000                                        
                                    "
 Volkswagen Passat,217871,1996, Nigerian Used  ," 695,000                                        
                                    "
 Ford Focus,162582,1999, Nigerian Used  ," 695,000                                        
                                    "
 Honda Pilot,129183,2004, Nigerian Used  ," 920,000                                        
                                    "
 Nissan Maxima,94455,2006, Nigerian Used  ," 1,707,500                                        
                                    "
 Toyota Camry,260866,2001, Nigerian Used  ," 695,000                                        
                                    "
 Hyundai Sonata,51564,2014, Nigerian Used  ," 4,490,000                                        
                                    "
 Honda Pilot,64183,2012, Nigerian Used  ," 4,295,000                                        
                                    "
 Toyota Venza,153819,2013, Foreign Used  ," 6,954,000                                        
                                    "
 Volkswagen Golf,208532,2009, Nigerian Used  ," 570,000                                        
                                    "
 Nissan Almera,249095,2000, Nigerian Used  ," 807,500                                        
                                    "
 Toyota Corolla,238939,2010, Nigerian Used  ," 2,922,000                                        
                                    "
 Toyota Avalon,159570,2002, Nigerian Used  ," 1,370,000                                        
                                    "
 Nissan Xterra,155004,2007, Nigerian Used  ," 863,750                                        
                                    "
 Land Rover Range Rover Sport,243566,2006, Nigerian Used  ," 2,530,000                                        
                                    "
 Nissan Altima,99912,2006, Nigerian Used  ," 910,000                                        
                                    "
 Kia Sportage,243740,2009, Nigerian Used  ," 987,500                                        
                                    "
 Kia Rio,198296,2009, Nigerian Used  ," 807,500                                        
                                    "
 Audi A4,163534,2000, Nigerian Used  ," 682,000                                        
                                    "
 Ford Edge,55370,2011, Nigerian Used  ," 3,732,500                                        
                                    "
 Toyota Camry,233687,2002, Nigerian Used  ," 1,354,000                                        
                                    "
 Nissan Armada,120765,2004, Nigerian Used  ," 1,130,000                                        
                                    "
 Toyota Land Cruiser Prado,2292,2020, Nigerian Used  ," 33,770,000                                        
                                    "
 Honda Accord,9080,2001, Nigerian Used  ," 470,000                                        
                                    "
 Lexus Es 350,86026,2011, Foreign Used  ," 4,826,000                                        
                                    "
 Acura Tl,123040,2003, Nigerian Used  ," 570,000                                        
                                    "
 Acura Mdx,67274,2007, Nigerian Used  ," 2,495,000                                        
                                    "
 Nissan X-Trail,190887,1996, Nigerian Used  ," 976,250                                        
                                    "
 Hyundai Santa Fe,201636,2004, Nigerian Used  ," 906,000                                        
                                    "
 Honda Pilot,117736,2003, Nigerian Used  ," 976,250                                        
                                    "
 Toyota Highlander,232588,2002, Foreign Used  ," 2,698,000                                        
                                    "
 Kia Sorento,147370,2006, Foreign Used  ," 2,045,000                                        
                                    "
 Hyundai Elantra,90828,2006, Nigerian Used  ," 526,250                                        
                                    "
 Honda Cr-V,183516,1998, Nigerian Used  ," 682,000                                        
                                    "
 Ford Edge,101171,2007, Nigerian Used  ," 2,250,000                                        
                                    "
 Toyota Matrix,126255,2004, Nigerian Used  ," 1,466,000                                        
                                    "
 Honda Accord,103850,2005, Nigerian Used  ," 751,250                                        
                                    "
 Toyota Rav4,136785,2002, Nigerian Used  ," 695,000                                        
                                    "
 Toyota Sienna,140995,2011, Foreign Used  ," 4,520,000                                        
                                    "
 Stallion Force,1,2015, Nigerian Used  ," 1,690,000                                        
                                    "
 Ford Edge,138185,2012, Foreign Used  ," 4,378,000                                        
                                    "
 Honda Civic,96380,2002, Nigerian Used  ," 738,000                                        
                                    "
 Subaru Outback,220178,2006, Nigerian Used  ," 1,088,750                                        
                                    "
Nissan Primera ,226132,2005, Nigerian Used  ," 738,000                                        
                                    "
 Land Rover Range Rover HSE,20180,2009, Nigerian Used  ," 5,610,000                                        
                                    "
 Toyota Land Cruiser,113996,2003, Nigerian Used  ," 2,045,000                                        
                                    "
 Honda Accord,284493,2000, Nigerian Used  ," 458,000                                        
                                    "
 Toyota Corolla,132171,2013, Nigerian Used  ," 2,250,000                                        
                                    "
 Volkswagen Passat,43972,2012, Nigerian Used  ," 2,270,000                                        
                                    "
 Toyota Highlander,158967,2004, Foreign Used  ," 3,170,000                                        
                                    "
 Toyota Yaris,88167,2006, Foreign Used  ," 1,932,500                                        
                                    "
 Nissan Armada,52194,2004, Nigerian Used  ," 2,270,000                                        
                                    "
 Toyota Camry,112261,2010, Foreign Used  ," 3,370,000                                        
                                    "
 Nissan Murano,243953,2005, Nigerian Used  ," 906,000                                        
                                    "
 Toyota Corolla,97722,2009, Nigerian Used  ," 2,250,000                                        
                                    "
 Toyota Highlander,175325,2008, Foreign Used  ," 5,610,000                                        
                                    "
 Honda Accord,76222,2010, Nigerian Used  ," 1,690,000                                        
                                    "
 Mercedes-Benz C240,114234,2005, Foreign Used  ," 1,595,000                                        
                                    "
 Mercedes-Benz C240,115355,2001, Nigerian Used  ," 1,482,500                                        
                                    "
 Toyota Corolla,42214,2015, Foreign Used  ," 6,170,000                                        
                                    "
 Toyota Rav4,144637,2006, Nigerian Used  ," 1,876,250                                        
                                    "
 Land Rover Discovery,58180,2006, Nigerian Used  ," 2,832,500                                        
                                    "
 Hummer H3,64593,2006, Nigerian Used  ," 4,266,000                                        
                                    "
 Renault Megane,298958,2002, Nigerian Used  ," 514,000                                        
                                    "
 Land Rover Range Rover Sport,76760,2006, Nigerian Used  ," 2,270,000                                        
                                    "
 Honda Civic,322325,2006, Nigerian Used  ," 751,250                                        
                                    "
 Toyota Highlander,90161,2009, Foreign Used  ," 6,170,000                                        
                                    "
 Mercedes-Benz C180,808108,2002, Nigerian Used  ," 1,370,000                                        
                                    "
 Nissan Primera,156701,2000, Nigerian Used  ," 626,000                                        
                                    "
 Mercedes-Benz E350,41600,2011, Foreign Used  ," 6,170,000                                        
                                    "
 Hyundai Santa Fe,83508,2016, Nigerian Used  ," 5,610,000                                        
                                    "
 Volkswagen Jetta,152411,2007, Foreign Used  ," 1,360,000                                        
                                    "
 Lexus Is 250,132521,2007, Nigerian Used  ," 2,026,000                                        
                                    "
 Ford Mondeo,145824,2001, Foreign Used  ," 1,191,250                                        
                                    "
 Honda Pilot,49766,2012, Nigerian Used  ," 5,082,500                                        
                                    "
 Toyota Sienna,60579,2011, Foreign Used  ," 6,207,500                                        
                                    "
 Mazda 626,57869,1999, Nigerian Used  ," 334,800                                        
                                    "
 Toyota Highlander,181394,2006, Nigerian Used  ," 1,595,000                                        
                                    "
 Toyota Avanza,71475,2007, Nigerian Used  ," 1,354,000                                        
                                    "
 Daihatsu MOVE,27810,2000, Nigerian Used  ," 1,018,000                                        
                                    "
 Toyota Camry,84755,2004, Foreign Used  ," 2,270,000                                        
                                    "
 Mercedes-Benz C300,107411,2008, Nigerian Used  ," 2,495,000                                        
                                    "
 Honda Civic,249266,2007, Foreign Used  ," 1,585,000                                        
                                    "
 Mercedes-Benz C300,140592,2011, Nigerian Used  ," 3,395,000                                        
                                    "
 Lexus Es 350,109160,2008, Nigerian Used  ," 2,607,500                                        
                                    "
 Toyota Corolla,70782,2014, Nigerian Used  ," 3,146,000                                        
                                    "
 Honda Accord,105320,2008, Foreign Used  ," 2,607,500                                        
                                    "
 Suzuki Kizashi,151847,2010, Foreign Used  ," 4,266,000                                        
                                    "
 Land Rover Range Rover Evoque,25098,2017, Nigerian Used  ," 18,020,000                                        
                                    "
 Infiniti Qx,155906,2001, Nigerian Used  ," 582,500                                        
                                    "
 Lexus Rx,367504,1999, Nigerian Used  ," 1,257,500                                        
                                    "
 Toyota Tundra,75228,2008, Nigerian Used  ," 6,770,000                                        
                                    "
 Mercedes-Benz C230,128712,2005, Foreign Used  ," 2,495,000                                        
                                    "
 Honda Pilot,81223,2009, Nigerian Used  ," 3,395,000                                        
                                    "
 Kia Rio,37549,2018, Nigerian Used  ," 3,202,000                                        
                                    "
 Mercedes-Benz Ml350,146507,2006, Nigerian Used  ," 2,810,000                                        
                                    "
 Toyota Camry,330844,2003, Nigerian Used  ," 1,242,000                                        
                                    "
 Mercedes-Benz Ml350,120229,2006, Nigerian Used  ," 2,270,000                                        
                                    "
 Toyota Highlander,145970,2008, Nigerian Used  ," 3,930,000                                        
                                    "
 Rover 600,240133,1999, Nigerian Used  ," 346,000                                        
                                    "
 Toyota Camry,228668,2004, Nigerian Used  ," 1,482,500                                        
                                    "
 Toyota Camry,92318,2013, Nigerian Used  ," 5,274,000                                        
                                    "
 Acura Mdx,195122,2007, Nigerian Used  ," 2,586,000                                        
                                    "
 Honda Pilot,186729,2005, Nigerian Used  ," 1,802,000                                        
                                    "
 Mitsubishi Outlander,217852,2007, Foreign Used  ," 2,474,000                                        
                                    "
 Toyota Corolla,88996,2015, Foreign Used  ," 4,042,000                                        
                                    "
 Hyundai Elantra,268207,2008, Nigerian Used  ," 1,201,250                                        
                                    "
 Toyota RAV4,122924,2007, Nigerian Used  ," 2,250,000                                        
                                    "
 Ford Edge,110619,2013, Foreign Used  ," 4,378,000                                        
                                    "
 Nissan X-Trail,116592,2009, Nigerian Used  ," 627,500                                        
                                    "
 Lexus Es 350,81341,2007, Foreign Used  ," 2,382,500                                        
                                    "
 Peugeot 607,50278,2004, Foreign Used  ," 2,250,000                                        
                                    "
 Honda Civic,107223,2008, Nigerian Used  ," 738,000                                        
                                    "
 Honda Pilot,245088,2004, Nigerian Used  ," 1,466,000                                        
                                    "
 Volkswagen Jetta,239547,2007, Nigerian Used  ," 794,000                                        
                                    "
 Mercedes-Benz Ml550,105641,2008, Nigerian Used  ," 2,922,000                                        
                                    "
 Hyundai Sonata,132247,2011, Nigerian Used  ," 2,250,000                                        
                                    "
 Toyota Camry,155913,2003, Nigerian Used  ," 1,313,750                                        
                                    "
 Mercedes-Benz E500,190826,2002, Nigerian Used  ," 1,690,000                                        
                                    "
 Ford Edge,111996,2014, Nigerian Used  ," 3,370,000                                        
                                    "
 Nissan Pathfinder,28203,2007, Nigerian Used  ," 1,707,500                                        
                                    "
 Acura Tl,77865,2009, Foreign Used  ," 4,295,000                                        
                                    "
 Ford Edge,76902,2011, Nigerian Used  ," 3,930,000                                        
                                    "
 GAC GS5,39874,2016, Nigerian Used  ," 5,645,000                                        
                                    "
 Acura Mdx,126658,2005, Foreign Used  ," 2,213,750                                        
                                    "
 Toyota Solara,124075,2007, Foreign Used  ," 2,270,000                                        
                                    "
 Land Rover Range Rover Vogue,88948,2012, Nigerian Used  ," 6,770,000                                        
                                    "
Suzuki XL7,214864,0000, Foreign Used  ," 1,130,000                                        
                                    "
 Ford Fusion,180463,2009, Nigerian Used  ," 2,495,000                                        
                                    "
 Nissan Pathfinder,151027,2005, Nigerian Used  ," 1,145,000                                        
                                    "
 Toyota Sienna,238921,2002, Nigerian Used  ," 1,032,500                                        
                                    "
 Toyota Camry,321220,2000, Nigerian Used  ," 638,750                                        
                                    "
 Honda Accord,110214,2006, Nigerian Used  ," 1,032,500                                        
                                    "
 Ford Escape,91945,2013, Foreign Used  ," 5,890,000                                        
                                    "
 Geely CK,17384,2011, Nigerian Used  ," 570,000                                        
                                    "
 Ford Escape,338498,2004, Nigerian Used  ," 638,750                                        
                                    "
 Honda Accord,34788,2016, Nigerian Used  ," 5,050,000                                        
                                    "
 Toyota Corolla,254429,2006, Nigerian Used  ," 1,707,500                                        
                                    "
 Mazda 3,127755,2010, Nigerian Used  ," 2,250,000                                        
                                    "
 Honda Odyssey,226073,2001, Nigerian Used  ," 695,000                                        
                                    "
 Acura Mdx,128301,2009, Nigerian Used  ," 2,270,000                                        
                                    "
 Ford Taurus,130089,2013, Nigerian Used  ," 2,720,000                                        
                                    "
 Mercedes-Benz C300,51053,2015, Foreign Used  ," 12,330,000                                        
                                    "
 Mercedes-Benz Ml320,91088,1999, Nigerian Used  ," 1,707,500                                        
                                    "
 Mitsubishi Pajero,162086,2008, Nigerian Used  ," 2,382,500                                        
                                    "
 Lexus Rx 330,207809,2004, Nigerian Used  ," 4,042,000                                        
                                    "
 Pontiac Vibe,213371,2004, Foreign Used  ," 1,876,250                                        
                                    "
 Nissan Primera,147161,2003, Nigerian Used  ," 582,500                                        
                                    "
 Mercedes-Benz Sprinter,6123,2014, Foreign Used  ," 21,290,000                                        
                                    "
 Mitsubishi L200,157584,2009, Nigerian Used  ," 2,698,000                                        
                                    "
 Toyota Corolla,186590,2008, Nigerian Used  ," 2,157,500                                        
                                    "
 Mercedes-Benz C180,309636,2002, Nigerian Used  ," 906,000                                        
                                    "
 Peugeot 807,220372,2001, Foreign Used  ," 1,914,000                                        
                                    "
 Mitsubishi Lancer,136642,2008, Nigerian Used  ," 1,022,500                                        
                                    "
 Honda Accord,215038,1998, Nigerian Used  ," 460,000                                        
                                    "
 Honda Pilot,198069,2005, Nigerian Used  ," 1,802,000                                        
                                    "
 Honda Accord,137572,2005, Nigerian Used  ," 906,000                                        
                                    "
 Isuzu Rodeo,172385,2000, Nigerian Used  ," 626,000                                        
                                    "
 Ford Transit,217761,1999, Nigerian Used  ," 1,522,000                                        
                                    "
 Kia Optima,158707,2012, Foreign Used  ," 3,594,000                                        
                                    "
 Acura Mdx,62591,2007, Nigerian Used  ," 2,586,000                                        
                                    "
 Peugeot 301,64220,2013, Nigerian Used  ," 1,690,000                                        
                                    "
 Toyota Sienna,280287,1999, Nigerian Used  ," 906,000                                        
                                    "
 Volkswagen Jetta,142705,2007, Nigerian Used  ," 1,018,000                                        
                                    "
 Porsche Cayenne,148559,2004, Nigerian Used  ," 2,698,000                                        
                                    "
 Toyota Camry,147009,2004, Nigerian Used  ," 1,522,000                                        
                                    "
 Kia Cerato,150102,2010, Nigerian Used  ," 906,000                                        
                                    "
 Lexus Rx 350,94563,2007, Foreign Used  ," 4,826,000                                        
                                    "
 Toyota 4Runner,111545,2007, Nigerian Used  ," 1,690,000                                        
                                    "
 Lexus Rx 300,126858,1999, Nigerian Used  ," 1,145,000                                        
                                    "
 Renault Laguna,152082,2004, Nigerian Used  ," 570,000                                        
                                    "
 Hyundai Veloster,29211,2014, Nigerian Used  ," 3,594,000                                        
                                    "
 Toyota Sequoia,209916,2001, Nigerian Used  ," 1,145,000                                        
                                    "
 Toyota Camry,84297,2007, Nigerian Used  ," 2,082,000                                        
                                    "
 Toyota Camry,80191,2003, Nigerian Used  ," 1,707,500                                        
                                    "
 Hyundai Sonata,173531,2011, Foreign Used  ," 3,057,500                                        
                                    "
 Toyota Highlander,99451,2002, Nigerian Used  ," 2,157,500                                        
                                    "
 Toyota Sienna,225843,2000, Nigerian Used  ," 1,578,000                                        
                                    "
 Volkswagen Sharan,261009,2002, Nigerian Used  ," 906,000                                        
                                    "
 Isuzu Rodeo,73840,2002, Nigerian Used  ," 685,000                                        
                                    "
 Honda Accord,211384,2006, Nigerian Used  ," 1,145,000                                        
                                    "
 Toyota Sienna,220352,2008, Foreign Used  ," 3,113,750                                        
                                    "
 Land Rover Range Rover Evoque,41745,2012, Nigerian Used  ," 8,970,000                                        
                                    "
 Mercedes-Benz Ml350,107505,2004, Nigerian Used  ," 1,690,000                                        
                                    "
 Kia Rio,65121,2009, Nigerian Used  ," 794,000                                        
                                    "
 Mitsubishi Attrage,150807,2014, Nigerian Used  ," 2,474,000                                        
                                    "
 Toyota Corolla,116482,2014, Foreign Used  ," 5,307,500                                        
                                    "
 BMW 5 Series,219228,2005, Foreign Used  ," 1,914,000                                        
                                    "
 Hyundai Sonata,172738,2011, Foreign Used  ," 3,594,000                                        
                                    "
 Mercedes-Benz C300,195499,2008, Nigerian Used  ," 2,382,500                                        
                                    "
 Nissan Almera,89573,2012, Nigerian Used  ," 1,802,000                                        
                                    "
 Lexus Es 350,58355,2007, Nigerian Used  ," 2,922,000                                        
                                    "
 Honda Cr-V,97900,2016, Foreign Used  ," 9,194,000                                        
                                    "
 Honda Cr-V,136202,2007, Nigerian Used  ," 1,690,000                                        
                                    "
 Toyota Corolla,90152,2016, Foreign Used  ," 5,050,000                                        
                                    "
 Toyota Camry,196060,2007, Foreign Used  ," 2,922,000                                        
                                    "
 Ford F-150,195542,2008, Nigerian Used  ," 5,050,000                                        
                                    "
 Mercedes-Benz C300,314385,2008, Nigerian Used  ," 3,620,000                                        
                                    "
 Volkswagen Passat,86851,1998, Nigerian Used  ," 638,750                                        
                                    "
 Kia Cerato,37869,2015, Nigerian Used  ," 4,520,000                                        
                                    "
 Volkswagen Passat,143153,2010, Foreign Used  ," 3,395,000                                        
                                    "
 Toyota Sienna,123534,2004, Nigerian Used  ," 1,578,000                                        
                                    "
 Toyota Highlander,22589,2011, Nigerian Used  ," 5,760,000                                        
                                    "
 Honda Civic,141454,2008, Nigerian Used  ," 1,802,000                                        
                                    "
 Volkswagen Touareg,11717,2008, Nigerian Used  ," 2,362,000                                        
                                    "
 Toyota Corolla,143150,2004, Foreign Used  ," 2,045,000                                        
                                    "
 Toyota Camry,32639,2015, Foreign Used  ," 7,626,000                                        
                                    "
 Mazda 626,232990,1995, Nigerian Used  ," 413,750                                        
                                    "
 Honda Accord,104068,2008, Nigerian Used  ," 1,707,500                                        
                                    "
 Mercedes-Benz C300,136312,2008, Foreign Used  ," 3,947,500                                        
                                    "
 Chrysler Town & Country,174161,2002, Nigerian Used  ," 582,500                                        
                                    "
 Honda Cr-V,208387,2005, Foreign Used  ," 1,634,000                                        
                                    "
 Hyundai Santa Fe,213245,2004, Nigerian Used  ," 976,250                                        
                                    "
 Nissan Sentra,98650,2008, Nigerian Used  ," 1,354,000                                        
                                    "
 Honda Accord,237903,1999, Nigerian Used  ," 570,000                                        
                                    "
 Mercedes-Benz E320,95310,1998, Nigerian Used  ," 1,360,000                                        
                                    "
 Toyota Sienna,60269,2008, Nigerian Used  ," 2,045,000                                        
                                    "
 Honda Civic,107736,2012, Nigerian Used  ," 2,810,000                                        
                                    "
 Mercedes-Benz Gl450,37678,2007, Nigerian Used  ," 3,168,400                                        
                                    "
 Toyota Avensis,147679,2005, Nigerian Used  ," 1,130,000                                        
                                    "
 Toyota Corolla,59617,2014, Foreign Used  ," 5,195,000                                        
                                    "
 Toyota Avalon,205161,2000, Nigerian Used  ," 863,750                                        
                                    "
 Volvo Xc90,127559,2004, Nigerian Used  ," 807,500                                        
                                    "
 Mercedes-Benz Gl450,114254,2013, Foreign Used  ," 11,832,500                                        
                                    "
 Mitsubishi L400,177816,1998, Nigerian Used  ," 1,130,000                                        
                                    "
 Toyota Sienna,104931,2017, Nigerian Used  ," 6,730,000                                        
                                    "
Lexus Es 300,112042,0000, Nigerian Used  ," 2,250,000                                        
                                    "
 Toyota Camry,65936,2009, Nigerian Used  ," 2,495,000                                        
                                    "
 Mercedes-Benz E350,141968,2010, Nigerian Used  ," 5,610,000                                        
                                    "
 Ford Edge,117753,2011, Nigerian Used  ," 3,930,000                                        
                                    "
 Toyota Corolla,190273,2003, Nigerian Used  ," 1,578,000                                        
                                    "
 Acura Tl,114780,2004, Foreign Used  ," 1,354,000                                        
                                    "
 Kia Sorento,57042,2012, Nigerian Used  ," 2,045,000                                        
                                    "
 Mazda 3,212814,2007, Nigerian Used  ," 1,707,500                                        
                                    "
 Honda Accord,124011,2006, Nigerian Used  ," 976,250                                        
                                    "
 Mazda Cx-7,218967,2007, Foreign Used  ," 2,270,000                                        
                                    "
 Toyota Camry,107988,2012, Nigerian Used  ," 3,957,500                                        
                                    "
 Mercedes-Benz C230,1,2004, Foreign Used  ," 1,472,500                                        
                                    "
 Pontiac Vibe,189092,2008, Nigerian Used  ," 2,213,750                                        
                                    "
 Toyota Sienna,70987,2012, Foreign Used  ," 7,850,000                                        
                                    "
 Ford Ranger,94522,2015, Nigerian Used  ," 5,195,000                                        
                                    "
 Kia Sorento,45016,2012, Nigerian Used  ," 2,270,000                                        
                                    "
 Toyota Corolla,110126,2010, Foreign Used  ," 3,090,000                                        
                                    "
 Kia Sorento,191198,2005, Nigerian Used  ," 962,000                                        
                                    "
 Ford Explorer,121924,2011, Nigerian Used  ," 3,370,000                                        
                                    "
 Toyota Camry,100955,2012, Foreign Used  ," 4,745,000                                        
                                    "
 Toyota HiAce,263551,2008, Nigerian Used  ," 5,050,000                                        
                                    "
 Jeep Wrangler,82158,2010, Nigerian Used  ," 5,890,000                                        
                                    "
 Lincoln Mks,247300,2007, Foreign Used  ," 3,170,000                                        
                                    "
 Toyota Highlander,156266,2010, Nigerian Used  ," 4,266,000                                        
                                    "
 Mercedes-Benz S550,99499,2007, Foreign Used  ," 4,520,000                                        
                                    "
 Honda Accord,134811,2012, Nigerian Used  ," 1,538,750                                        
                                    "
 Lexus Rx 350,75437,2008, Nigerian Used  ," 3,146,000                                        
                                    "
 Honda Accord,194328,2008, Nigerian Used  ," 1,690,000                                        
                                    "
 Honda Pilot,289585,2003, Foreign Used  ," 1,707,500                                        
                                    "
 Honda Cr-V,183803,2008, Foreign Used  ," 4,266,000                                        
                                    "
 Lexus Es 350,57143,2013, Nigerian Used  ," 6,800,000                                        
                                    "
 Toyota Sienna,98725,2008, Nigerian Used  ," 2,586,000                                        
                                    "
 Toyota Sequoia,166403,2002, Nigerian Used  ," 1,932,500                                        
                                    "
 Honda Accord Crosstour,110518,2010, Nigerian Used  ," 2,250,000                                        
                                    "
 Toyota Corolla,104999,2009, Nigerian Used  ," 2,250,000                                        
                                    "
 Mercedes-Benz C300,58254,2013, Foreign Used  ," 5,645,000                                        
                                    "
 Kia Mohave,51241,2014, Nigerian Used  ," 3,930,000                                        
                                    "
 Mercedes-Benz E43,13405,2017, Nigerian Used  ," 19,145,000                                        
                                    "
 Toyota Highlander,149895,2003, Foreign Used  ," 3,034,000                                        
                                    "
 Hyundai Sonata,236939,2007, Nigerian Used  ," 1,466,000                                        
                                    "
 Toyota Sienna,152827,2002, Nigerian Used  ," 807,500                                        
                                    "
 Toyota Avalon,192003,2006, Foreign Used  ," 2,474,000                                        
                                    "
 Mercedes-Benz E350,51879,2014, Nigerian Used  ," 9,582,500                                        
                                    "
 Toyota Tacoma,65570,2006, Foreign Used  ," 5,050,000                                        
                                    "
 Toyota Sienna,88187,2011, Foreign Used  ," 5,870,000                                        
                                    "
 Toyota Corolla,150548,2006, Nigerian Used  ," 1,595,000                                        
                                    "
 Volkswagen Touareg,109478,2005, Nigerian Used  ," 1,130,000                                        
                                    "
 Subaru Legacy,239589,2008, Foreign Used  ," 2,607,500                                        
                                    "
 Ford Freestyle,171010,2007, Foreign Used  ," 2,045,000                                        
                                    "
 Toyota Camry,47981,2018, Foreign Used  ," 19,145,000                                        
                                    "
 Toyota Corolla,152328,2014, Nigerian Used  ," 4,520,000                                        
                                    "
 Nissan Maxima,139341,1999, Nigerian Used  ," 402,000                                        
                                    "
 Volvo V70,492513,2002, Nigerian Used  ," 883,600                                        
                                    "
 Kia Cerato,115188,2007, Nigerian Used  ," 626,000                                        
                                    "
 Mercedes-Benz S550,69847,2011, Foreign Used  ," 9,020,000                                        
                                    "
 Ford Edge,87349,2014, Nigerian Used  ," 3,146,000                                        
                                    "
 Toyota Camry,76107,2012, Foreign Used  ," 4,070,000                                        
                                    "
 Honda Cr-V,212006,2001, Nigerian Used  ," 695,000                                        
                                    "
 Toyota Corolla,241993,2003, Nigerian Used  ," 1,634,000                                        
                                    "
 Toyota Camry,164112,2002, Nigerian Used  ," 1,370,000                                        
                                    "
 Peugeot 406,275002,1998, Nigerian Used  ," 738,000                                        
                                    "
 Mercedes-Benz Ml350,154204,2005, Nigerian Used  ," 1,585,000                                        
                                    "
 Peugeot 607,248598,2002, Nigerian Used  ," 906,000                                        
                                    "
 Nissan Maxima,122330,2002, Nigerian Used  ," 1,032,500                                        
                                    "
 Renault Duster,84117,2004, Nigerian Used  ," 976,250                                        
                                    "
 Mitsubishi L200,265678,2012, Nigerian Used  ," 1,595,000                                        
                                    "
 Lexus Rx 300,135864,2000, Foreign Used  ," 2,250,000                                        
                                    "
 Kia Sorento,194379,2003, Nigerian Used  ," 1,032,500                                        
                                    "
 Toyota Camry,206947,2005, Foreign Used  ," 2,474,000                                        
                                    "
 Honda Civic,151398,2003, Nigerian Used  ," 794,000                                        
                                    "
 Toyota Camry,323942,2011, Nigerian Used  ," 2,495,000                                        
                                    "
 Toyota Highlander,185509,2001, Nigerian Used  ," 1,802,000                                        
                                    "
 Mitsubishi Attrage,159674,2013, Nigerian Used  ," 1,257,500                                        
                                    "
 Acura Tl,195729,2002, Nigerian Used  ," 638,750                                        
                                    "
 Toyota HiAce,162853,2009, Nigerian Used  ," 3,395,000                                        
                                    "
 Mercedes-Benz Ml350,77764,2010, Foreign Used  ," 5,610,000                                        
                                    "
 Land Rover Lr3,171879,2006, Foreign Used  ," 5,082,500                                        
                                    "
 Toyota Sienna,96769,2011, Foreign Used  ," 5,420,000                                        
                                    "
 Toyota Hilux,194036,2007, Nigerian Used  ," 4,745,000                                        
                                    "
 Honda Pilot,139819,2007, Nigerian Used  ," 1,482,500                                        
                                    "
 Honda Odyssey,193976,2007, Nigerian Used  ," 1,145,000                                        
                                    "
 TOYOTA Highlander,250231,2006, Foreign Used  ," 2,382,500                                        
                                    "
 Kia Sedona,170671,2004, Nigerian Used  ," 582,500                                        
                                    "
 Toyota Corolla,190922,2007, Nigerian Used  ," 1,876,250                                        
                                    "
 Toyota Avalon,92587,2013, Foreign Used  ," 8,457,500                                        
                                    "
