make,mileage,year,condition,price 
1999 Lexus Rx 300," 95,268Km
"," 1999
", Nigerian Used  ," 1,370,000                                        
                                    "
2003 Nissan Pathfinder," 2003
"," NG-634910
", Nigerian Used  ," 807,500                                        
                                    "
2009 BMW 7 Series," 82,742Km
"," 2009
", Foreign Used  ," 6,770,000                                        
                                    "
2008 Land Rover Range Rover Sport," 65,687Km
"," 2008
", Nigerian Used  ," 4,182,500                                        
                                    "
2013 Acura Mdx," 57,429Km
"," 2013
", Foreign Used  ," 3,957,500                                        
                                    "
2009 Mercedes-Benz C350," 77,475Km
"," 2009
", Nigerian Used  ," 3,395,000                                        
                                    "
2006 Honda Accord," 2006
"," NG-634154
",   ," 976,250                                        
                                    "
2016 Lexus IS 200T," 130,124Km
"," 2016
", Nigerian Used  ," 11,832,500                                        
                                    "
2008 BMW X5," 69,211Km
"," 2008
", Nigerian Used  ," 2,822,500                                        
                                    "
2001 Mazda Mpv," 225,720Km
"," 2001
", Nigerian Used  ," 861,625                                        
                                    "
2012 Toyota Camry," 141,048Km
"," 2012
", Foreign Used  ," 4,520,000                                        
                                    "
2012 Acura Mdx," 76,943Km
"," 2012
", Nigerian Used  ," 3,957,500                                        
                                    "
2012 Suzuki Swift," 38,973Km
"," 2012
", Nigerian Used  ," 2,270,000                                        
                                    "
2011 Hyundai Sonata," 76,696Km
"," 2011
", Nigerian Used  ," 3,226,250                                        
                                    "
2001 Lexus Rx 300," 97,519Km
"," 2001
", Nigerian Used  ," 1,426,250                                        
                                    "
Lexus Rx 350 2010," 91,297Km
"," 2010
", Nigerian Used  ," 6,095,000                                        
                                    "
2000 Toyota Sienna," 198,003Km
"," 2000
", Nigerian Used  ," 976,250                                        
                                    "
2010 Landrover HSE SPORTS," 74,345Km
"," 2010
", Nigerian Used  ," 3,395,000                                        
                                    "
2012 Toyota Camry," 83,009Km
"," 2012
", Nigerian Used  ," 3,620,000                                        
                                    "
2000 Nissan Pathfinder," 234,628Km
"," 2000
", Nigerian Used  ," 807,500                                        
                                    "
2002 Mercedes-Benz E200," 166,031Km
"," 2002
", Nigerian Used  ," 920,000                                        
                                    "
2007 Toyota Camry," 146,446Km
"," 2007
", Nigerian Used  ," 2,270,000                                        
                                    "
2005 Toyota Sienna," 207,319Km
"," 2005
", Nigerian Used  ," 2,270,000                                        
                                    "
2004 Lexus Gx470," 212,852Km
"," 2004
", Foreign Used  ," 3,732,500                                        
                                    "
Honda Pilot 2013," 90,164Km
"," 2013
", Foreign Used  ," 5,070,000                                        
                                    "
2005 Mercedes-Benz C240," 194,340Km
"," 2005
", Foreign Used  ," 3,170,000                                        
                                    "
2010 Ford Ranger," 113,588Km
"," 2010
", Nigerian Used  ," 1,932,500                                        
                                    "
2005 LEXUS Rx 330," 123,130Km
"," 2005
", Nigerian Used  ," 3,395,000                                        
                                    "
2006 Nissan Sunny," 283,212Km
"," 2006
", Nigerian Used  ," 751,250                                        
                                    "
Land Rover Range Rover HSE 2010," 108,321Km
"," 2010
", Nigerian Used  ," 9,020,000                                        
                                    "
2006 Honda Accord," 148,309Km
"," 2006
", Nigerian Used  ," 920,000                                        
                                    "
2003 Kia Sorento," 354,888Km
"," 2003
", Nigerian Used  ," 807,500                                        
                                    "
Mercedes-Benz Ml63 Amg 2008," 102,118Km
"," 2008
", Nigerian Used  ," 3,957,500                                        
                                    "
2007 Nissan Pathfinder," 99,267Km
"," 2007
", Foreign Used  ," 1,820,000                                        
                                    "
2008 Hyundai Elantra," 104,670Km
"," 2008
", Foreign Used  ," 1,932,500                                        
                                    "
2010 Kia Sedona," 217,825Km
"," 2010
", Foreign Used  ," 1,707,500                                        
                                    "
Ford Windstar 2003," 176,974Km
"," 2003
", Foreign Used  ," 1,257,500                                        
                                    "
2010 Land Rover Lr4," 103,699Km
"," 2010
", Nigerian Used  ," 2,832,500                                        
                                    "
2008 Honda Accord," 60,729Km
"," 2008
", Nigerian Used  ," 1,497,125                                        
                                    "
1997 Honda Accord," 180,438Km
"," 1997
", Nigerian Used  ," 413,750                                        
                                    "
2010 Volkswagen Passat," 120,733Km
"," 2010
", Nigerian Used  ," 2,270,000                                        
                                    "
2011 Mitsubishi Pajero," 198,267Km
"," 2011
", Nigerian Used  ," 3,170,000                                        
                                    "
Honda Accord 2008," 132,175Km
"," 2008
", Nigerian Used  ," 1,370,000                                        
                                    "
2009 Toyota Corolla," 85,345Km
"," 2009
", Nigerian Used  ," 2,026,000                                        
                                    "
2005 Infiniti G," 89,054Km
"," 2005
", Foreign Used  ," 1,707,500                                        
                                    "
2006 Ssangyong Actyon," 130,715Km
"," 2006
", Nigerian Used  ," 582,500                                        
                                    "
2012 Toyota Camry," 72,050Km
"," 2012
", Foreign Used  ," 4,745,000                                        
                                    "
2009 Toyota Matrix," 139,702Km
"," 2009
", Nigerian Used  ," 2,157,500                                        
                                    "
2014 Toyota Corolla," 174,030Km
"," 2014
", Foreign Used  ," 5,420,000                                        
                                    "
2002 Volvo S60," 999,999Km
"," 2002
", Nigerian Used  ," 863,750                                        
                                    "
2002 Mitsubishi Montero," 254,406Km
"," 2002
", Nigerian Used  ," 863,750                                        
                                    "
2010 Toyota Camry," 10,444Km
"," 2010
", Foreign Used  ," 3,620,000                                        
                                    "
2001 Volkswagen Passat," 141,667Km
"," 2001
", Foreign Used  ," 1,145,000                                        
                                    "
2006 Land Rover Range Rover Sport," 147,190Km
"," 2006
", Nigerian Used  ," 2,270,000                                        
                                    "
2009 Toyota Camry," 101,943Km
"," 2009
", Nigerian Used  ," 1,820,000                                        
                                    "
2006 Mercedes-Benz R500," 124,488Km
"," 2006
", Nigerian Used  ," 2,270,000                                        
                                    "
1998 Ford F-150," 278,269Km
"," 1998
", Nigerian Used  ," 1,707,500                                        
                                    "
2010 Honda Accord Crosstour," 2010
"," NG-626645
", Nigerian Used  ," 2,270,000                                        
                                    "
2011 Hyundai Sonata," 274,446Km
"," 2011
", Nigerian Used  ," 2,382,500                                        
                                    "
2002 Toyota Camry," 231,684Km
"," 2002
", Nigerian Used  ," 1,088,750                                        
                                    "
2008 Lexus Is 250," 212,577Km
"," 2008
", Nigerian Used  ," 3,001,250                                        
                                    "
2006 Toyota Hilux," 172,299Km
"," 2006
", Nigerian Used  ," 3,957,500                                        
                                    "
2006 BMW X5," 109,009Km
"," 2006
", Nigerian Used  ," 2,270,000                                        
                                    "
2014 Suzuki Grand Vitara," 2014
"," NG-626284
", Nigerian Used  ," 1,707,500                                        
                                    "
2012 Suzuki Swift," 2012
"," NG-626224
", Nigerian Used  ," 1,145,000                                        
                                    "
2014 Suzuki Grand Vitara," 2014
"," NG-626362
", Nigerian Used  ," 1,707,500                                        
                                    "
2007 Saturn Outlook," 195,778Km
"," 2007
", Nigerian Used  ," 1,707,500                                        
                                    "
Honda Accord 1998," 1998
"," NG-626336
", Nigerian Used  ," 413,750                                        
                                    "
2011 Toyota Coaster," 2011
"," NG-626609
", Nigerian Used  ," 5,645,000                                        
                                    "
2014 Suzuki Grand Vitara," 2014
"," NG-626295
", Nigerian Used  ," 13,520,000                                        
                                    "
2008 Mercedes-Benz C300," 97,044Km
"," 2008
", Nigerian Used  ," 2,270,000                                        
                                    "
2006 Toyota Corolla," 135,532Km
"," 2006
", Nigerian Used  ," 1,763,750                                        
                                    "
2007 Mercedes-Benz Gl450," 109,703Km
"," 2007
", Nigerian Used  ," 5,610,000                                        
                                    "
2007 Ford Edge," 132,419Km
"," 2007
", Foreign Used  ," 2,607,500                                        
                                    "
2006 Nissan Pathfinder," 119,146Km
"," 2006
", Nigerian Used  ," 1,370,000                                        
                                    "
2016 Kia Rio," 29,405Km
"," 2016
", Nigerian Used  ," 3,957,500                                        
                                    "
2013 Mercedes-Benz Glk350," 34,932Km
"," 2013
", Nigerian Used  ," 6,545,000                                        
                                    "
1999 Toyota Sienna," 206,040Km
"," 1999
", Nigerian Used  ," 953,750                                        
                                    "
2009 Mercedes-Benz C300," 121,816Km
"," 2009
", Nigerian Used  ," 2,607,500                                        
                                    "
2011 Mercedes-Benz Sprinter," 128,877Km
"," 2011
", Foreign Used  ," 16,332,500                                        
                                    "
2009 Toyota Venza," 105,304Km
"," 2009
", Nigerian Used  ," 4,295,000                                        
                                    "
2012 Toyota Sienna," 315,547Km
"," 2012
", Nigerian Used  ," 4,407,500                                        
                                    "
2011 Toyota Land Cruiser Prado," 157,461Km
"," 2011
", Nigerian Used  ," 12,395,000                                        
                                    "
2002 Peugeot 406," 2002
"," NG-621825
", Nigerian Used  ," 605,000                                        
                                    "
2010 Mercedes-Benz C300," 85,870Km
"," 2010
", Foreign Used  ," 3,282,500                                        
                                    "
2010 Land Rover Range Rover Sport," 125,156Km
"," 2010
", Nigerian Used  ," 6,770,000                                        
                                    "
1997 Mazda 626," 308,478Km
"," 1997
", Nigerian Used  ," 335,000                                        
                                    "
2014 Suzuki Grand Vitara," 109,836Km
"," 2014
", Nigerian Used  ," 1,707,500                                        
                                    "
2016 Toyota 4Runner," 39,581Km
"," 2017
", Foreign Used  ," 15,770,000                                        
                                    "
2010 BMW X6," 55,890Km
"," 2010
", Nigerian Used  ," 3,957,500                                        
                                    "
2005 Bentley Continental," 64,754Km
"," 2005
", Nigerian Used  ," 16,895,000                                        
                                    "
2010 Ford Taurus," 205,321Km
"," 2010
", Foreign Used  ," 3,282,500                                        
                                    "
2006 Honda Odyssey," 240,008Km
"," 2006
", Nigerian Used  ," 1,145,000                                        
                                    "
2011 Toyota Sienna," 219,443Km
"," 2011
", Foreign Used  ," 5,645,000                                        
                                    "
2008 Toyota Highlander," 99,446Km
"," 2008
", Nigerian Used  ," 4,182,500                                        
                                    "
2016 Toyota Sienna," 46,522Km
"," 2016
", Foreign Used  ," 7,895,000                                        
                                    "
2011 Mercedes-Benz E350," 103,328Km
"," 2011
", Nigerian Used  ," 4,520,000                                        
                                    "
2007 Ford Edge," 165,490Km
"," 2007
", Nigerian Used  ," 1,697,500                                        
                                    "
2010 Land Rover Range Rover Sport," 89,498Km
"," 2010
", Nigerian Used  ," 2,210,000                                        
                                    "
2016 Toyota Camry," 54,444Km
"," 2016
", Foreign Used  ," 6,421,250                                        
                                    "
2016 GAC GA3-S," 68,221Km
"," 2016
", Nigerian Used  ," 1,932,500                                        
                                    "
2011 Toyota Sienna," 83,829Km
"," 2011
", Foreign Used  ," 4,407,500                                        
                                    "
2007 Nissan Versa," 283,061Km
"," 2007
", Foreign Used  ," 1,505,000                                        
                                    "
2018 Toyota Rav4," 23,447Km
"," 2018
", Nigerian Used  ," 9,582,500                                        
                                    "
2005 Toyota Sienna," 145,657Km
"," 2005
", Foreign Used  ," 2,607,500                                        
                                    "
2003 BMW 5 Series," 213,394Km
"," 2003
", Nigerian Used  ," 1,370,000                                        
                                    "
2000 Toyota Camry," 213,616Km
"," 2000
", Nigerian Used  ," 807,500                                        
                                    "
2000 Toyota Avalon," 240,109Km
"," 2000
", Nigerian Used  ," 863,750                                        
                                    "
2000 Toyota Camry," 214,352Km
"," 2000
", Foreign Used  ," 1,347,500                                        
                                    "
2007 Toyota Avensis," 144,891Km
"," 2007
", Nigerian Used  ," 1,370,000                                        
                                    "
2006 Mercedes-Benz C280," 223,952Km
"," 2006
", Nigerian Used  ," 1,932,500                                        
                                    "
2008 Toyota 4Runner," 135,380Km
"," 2008
", Nigerian Used  ," 2,270,000                                        
                                    "
2003 Honda Pilot," 153,159Km
"," 2003
", Nigerian Used  ," 920,000                                        
                                    "
2006 Mercedes-Benz E350," 161,294Km
"," 2006
", Nigerian Used  ," 2,832,500                                        
                                    "
2008 Mercedes-Benz C350," 148,497Km
"," 2008
", Foreign Used  ," 4,295,000                                        
                                    "
1999 Mitsubishi SpaceStar," 207,359Km
"," 1999
", Nigerian Used  ," 503,750                                        
                                    "
2009 Honda Pilot," 78,123Km
"," 2009
", Nigerian Used  ," 2,270,000                                        
                                    "
2004 Pontiac Vibe," 166,247Km
"," 2004
", Foreign Used  ," 2,213,750                                        
                                    "
2009 Toyota Corolla," 23,753Km
"," 2009
", Nigerian Used  ," 2,270,000                                        
                                    "
2011 Nissan Pathfinder," 53,993Km
"," 2011
", Nigerian Used  ," 2,607,500                                        
                                    "
2004 Mercedes-Benz Ml350," 286,603Km
"," 2004
", Foreign Used  ," 3,507,500                                        
                                    "
2007 Lexus Rx 350," 175,846Km
"," 2007
", Nigerian Used  ," 3,620,000                                        
                                    "
2005 Mitsubishi Endeavor," 231,600Km
"," 2005
", Foreign Used  ," 1,201,250                                        
                                    "
2006 Mercedes-Benz R350," 138,357Km
"," 2006
", Nigerian Used  ," 2,210,000                                        
                                    "
2004 Toyota Rav4," 221,807Km
"," 2004
", Nigerian Used  ," 1,257,500                                        
                                    "
2005 Toyota Sienna," 127,520Km
"," 2005
", Nigerian Used  ," 1,763,750                                        
                                    "
2003 Toyota Corolla," 72,010Km
"," 2003
", Nigerian Used  ," 1,482,500                                        
                                    "
2014 MG 550," 67,502Km
"," 2014
", Nigerian Used  ," 1,257,500                                        
                                    "
2013 Toyota Venza," 153,859Km
"," 2013
", Foreign Used  ," 5,420,000                                        
                                    "
2015 Honda Accord," 120,343Km
"," 2015
", Foreign Used  ," 4,520,000                                        
                                    "
2000 Volvo V40," 239,376Km
"," 2000
", Foreign Used  ," 1,145,000                                        
                                    "
Lexus Is 250 2007," 160,920Km
"," 2007
", Nigerian Used  ," 3,395,000                                        
                                    "
2002 Toyota Camry," 199,588Km
"," 2002
", Nigerian Used  ," 1,370,000                                        
                                    "
2009 Hyundai Accent," 110,223Km
"," 2009
", Nigerian Used  ," 582,500                                        
                                    "
Toyota Camry 2007," 108,070Km
"," 2007
", Nigerian Used  ," 2,157,500                                        
                                    "
1999 Honda Accord," 280,779Km
"," 1999
", Nigerian Used  ," 526,250                                        
                                    "
2010 Nissan Sunny," 180,591Km
"," 2010
", Nigerian Used  ," 751,250                                        
                                    "
2001 Lexus Rx 300," 105,277Km
"," 2001
", Nigerian Used  ," 1,145,000                                        
                                    "
2017 Toyota Camry," 71,575Km
"," 2017
", Foreign Used  ," 6,095,000                                        
                                    "
2020 Toyota Camry," 803Km
"," 2020
", Foreign Used  ," 22,520,000                                        
                                    "
2005 Lexus Es," 164,794Km
"," 2005
", Foreign Used  ," 2,720,000                                        
                                    "
Lexus Es 350 2008," 133,601Km
"," 2008
", Nigerian Used  ," 4,070,000                                        
                                    "
2009 Volkswagen Passat," 119,983Km
"," 2009
", Nigerian Used  ," 2,269,750                                        
                                    "
2007 Toyota Camry," 545,714Km
"," 2007
", Foreign Used  ," 2,183,500                                        
                                    "
2009 Toyota Corolla," 68,394Km
"," 2009
", Nigerian Used  ," 2,551,250                                        
                                    "
2018 Nissan Sentra," 6,324Km
"," 2018
", Foreign Used  ," 8,457,500                                        
                                    "
2011 Ford Explorer," 189,005Km
"," 2011
", Nigerian Used  ," 5,645,000                                        
                                    "
2007 Nissan Versa," 107,574Km
"," 2007
", Foreign Used  ," 1,275,000                                        
                                    "
2004 Peugeot 206," 99,662Km
"," 2004
", Nigerian Used  ," 605,000                                        
                                    "
2008 Nissan Pathfinder," 234,122Km
"," 2008
", Nigerian Used  ," 1,476,250                                        
                                    "
Kia Sedona 2009," 139,179Km
"," 2009
", Foreign Used  ," 1,707,500                                        
                                    "
2008 Mercedes-Benz C300," 173,200Km
"," 2008
", Nigerian Used  ," 2,885,000                                        
                                    "
2006 BMW 3 Series," 175,337Km
"," 2006
", Nigerian Used  ," 2,310,000                                        
                                    "
2005 Mercedes-Benz E320," 149,840Km
"," 2005
", Foreign Used  ," 2,310,000                                        
                                    "
2005 Toyota Highlander," 119,713Km
"," 2005
", Nigerian Used  ," 2,157,500                                        
                                    "
2014 Toyota Rav4," 82,413Km
"," 2014
", Nigerian Used  ," 5,760,000                                        
                                    "
2010 Honda Accord," 97,604Km
"," 2010
", Foreign Used  ," 2,425,000                                        
                                    "
2013 Toyota Camry," 115,381Km
"," 2013
", Foreign Used  ," 4,035,000                                        
                                    "
2008 Toyota Camry," 249,924Km
"," 2008
", Foreign Used  ," 2,540,000                                        
                                    "
2002 Mercedes-Benz E320," 116,446Km
"," 2002
", Nigerian Used  ," 1,505,000                                        
                                    "
2009 Audi Q7," 167,999Km
"," 2009
", Foreign Used  ," 5,185,000                                        
                                    "
2008 Toyota Solara," 124,326Km
"," 2008
", Nigerian Used  ," 1,850,000                                        
                                    "
2004 Toyota Corolla," 153,937Km
"," 2004
", Foreign Used  ," 2,218,000                                        
                                    "
2004 Volkswagen Polo," 2004
"," NG-585900
",   ," 585,000                                        
                                    "
2007 Toyota Hilux," 167,994Km
"," 2007
", Nigerian Used  ," 2,885,000                                        
                                    "
2008 Kia Cerato," 190,862Km
"," 2008
", Nigerian Used  ," 638,750                                        
                                    "
2012 Ford Explorer," 134,208Km
"," 2012
", Nigerian Used  ," 3,395,000                                        
                                    "
2008 Peugeot Expert," 132,549Km
"," 2008
", Nigerian Used  ," 872,500                                        
                                    "
2012 Toyota Sienna," 80,778Km
"," 2012
", Foreign Used  ," 6,737,500                                        
                                    "
2011 Toyota Camry," 141,520Km
"," 2011
", Foreign Used  ," 2,945,000                                        
                                    "
2007 Peugeot 307," 516,806Km
"," 2007
", Nigerian Used  ," 600,000                                        
                                    "
2000 Lexus Rx 300," 11,558Km
"," 2000
", Nigerian Used  ," 1,648,750                                        
                                    "
Ford Edge 2007," 92,787Km
"," 2007
", Nigerian Used  ," 2,832,500                                        
                                    "
2002 Peugeot 607," 251,183Km
"," 2002
", Foreign Used  ," 1,505,000                                        
                                    "
2018 GAC GS4," 17,483Km
"," 2018
", Nigerian Used  ," 8,060,000                                        
                                    "
2019 Fiat FULLBACK," 92Km
"," 2019
", New  ," 11,700,000                                        
                                    "
2003 Lexus Lx," 162,441Km
"," 2003
", Nigerian Used  ," 1,160,000                                        
                                    "
2011 Peugeot 408," 99,510Km
"," 2011
", Nigerian Used  ," 1,620,000                                        
                                    "
2010 Toyota Corolla," 73,773Km
"," 2010
", Foreign Used  ," 3,200,000                                        
                                    "
2012 Mercedes-Benz E350," 140,675Km
"," 2012
", Foreign Used  ," 6,910,000                                        
                                    "
2002 Honda Accord," 11,087Km
"," 2002
", Nigerian Used  ," 700,000                                        
                                    "
2009 Hyundai Elantra," 231,397Km
"," 2009
", Foreign Used  ," 1,965,000                                        
                                    "
2004 Lexus Es 330," 293,057Km
"," 2004
", Foreign Used  ," 2,945,000                                        
                                    "
2008 Honda Accord," 123,808Km
"," 2008
", Nigerian Used  ," 1,735,000                                        
                                    "
2006 Volkswagen Passat," 116,443Km
"," 2006
", Nigerian Used  ," 1,275,000                                        
                                    "
2008 Lexus Es 350," 157,485Km
"," 2008
", Foreign Used  ," 4,070,000                                        
                                    "
2002 Ford Explorer," 21,282Km
"," 2002
", Foreign Used  ," 2,270,000                                        
                                    "
2019 JMC NEW CARRYING LIGHT DUTY TRUCK," 8Km
"," 2019
", New  ," 8,500,000                                        
                                    "
2008 Honda Ridgeline," 233,216Km
"," 2008
", Nigerian Used  ," 1,820,000                                        
                                    "
2004 Mitsubishi Pajero," 270,490Km
"," 2004
", Nigerian Used  ," 1,850,000                                        
                                    "
2008 Toyota Sequoia," 101,044Km
"," 2008
", Nigerian Used  ," 5,760,000                                        
                                    "
2015 Land Rover Range Rover Vogue," 56,561Km
"," 2015
", Nigerian Used  ," 32,210,000                                        
                                    "
2004 Toyota Sequoia," 173,856Km
"," 2004
", Nigerian Used  ," 1,850,000                                        
                                    "
2009 Toyota Venza," 269,345Km
"," 2009
", Foreign Used  ," 5,760,000                                        
                                    "
1999 Toyota Camry," 166,115Km
"," 1999
", Foreign Used  ," 1,160,000                                        
                                    "
2006 Honda Accord," 148,046Km
"," 2006
", Nigerian Used  ," 805,000                                        
                                    "
2011 Toyota Sienna," 100,155Km
"," 2011
", Foreign Used  ," 4,955,000                                        
                                    "
Toyota Highlander 2009," 198,669Km
"," 2009
", Foreign Used  ," 4,745,000                                        
                                    "
1999 Nissan Maxima," 178,924Km
"," 1999
", Nigerian Used  ," 470,000                                        
                                    "
2013 Toyota Corolla," 108,509Km
"," 2013
", Foreign Used  ," 5,415,000                                        
                                    "
2005 Toyota Highlander," 109,508Km
"," 2005
", Nigerian Used  ," 2,310,000                                        
                                    "
2000 Mitsubishi SpaceStar," 278,212Km
"," 2000
", Foreign Used  ," 930,000                                        
                                    "
2006 Honda Pilot," 90,175Km
"," 2006
", Foreign Used  ," 2,045,000                                        
                                    "
2006 Toyota Corolla," 226,127Km
"," 2006
", Nigerian Used  ," 1,620,000                                        
                                    "
2007 Mercedes-Benz Gl450," 7,956Km
"," 2007
", Foreign Used  ," 4,520,000                                        
                                    "
2015 Honda Accord," 205,029Km
"," 2015
", Foreign Used  ," 6,335,000                                        
                                    "
2008 Toyota Corolla," 153,570Km
"," 2008
", Nigerian Used  ," 1,370,000                                        
                                    "
Infiniti G35 2005," 18,346Km
"," 2005
", Nigerian Used  ," 1,482,500                                        
                                    "
2010 Nissan Maxima," 139,938Km
"," 2010
", Nigerian Used  ," 2,080,000                                        
                                    "
2005 Nissan Pathfinder," 213,079Km
"," 2005
", Foreign Used  ," 2,080,000                                        
                                    "
2010 Toyota Land Cruiser," 45,919Km
"," 2010
", Nigerian Used  ," 16,110,000                                        
                                    "
2007 BMW X5," 102,931Km
"," 2007
", Nigerian Used  ," 2,832,500                                        
                                    "
2014 Nissan Altima," 39,170Km
"," 2014
", Nigerian Used  ," 6,335,000                                        
                                    "
1999 Toyota Picnic," 337,593Km
"," 1999
", Nigerian Used  ," 920,000                                        
                                    "
1999 Lexus Rx 300," 216,431Km
"," 1999
", Nigerian Used  ," 1,145,000                                        
                                    "
2015 Volkswagen Passat," 51,705Km
"," 2015
", Nigerian Used  ," 4,035,000                                        
                                    "
2018 Toyota Rav4," 40,453Km
"," 2018
", Foreign Used  ," 11,740,000                                        
                                    "
2000 Ford Focus," 155,883Km
"," 2000
", Nigerian Used  ," 470,000                                        
                                    "
2014 Toyota Land Cruiser Prado," 81,572Km
"," 2014
", Nigerian Used  ," 17,260,000                                        
                                    "
2010 BMW X5," 51,873Km
"," 2010
", Nigerian Used  ," 4,520,000                                        
                                    "
2004 Ford Explorer," 148,103Km
"," 2004
", Nigerian Used  ," 1,427,375                                        
                                    "
2008 Lexus Lx," 58,651Km
"," 2008
", Nigerian Used  ," 11,510,000                                        
                                    "
2010 Toyota HiAce," 424,714Km
"," 2010
", Nigerian Used  ," 3,115,000                                        
                                    "
2019 Fiat FULLBACK," 54Km
"," 2019
", New  ," 12,500,000                                        
                                    "
2007 Mercedes-Benz R350," 120,245Km
"," 2007
", Foreign Used  ," 1,965,000                                        
                                    "
2005 Mercedes-Benz E500," 160,663Km
"," 2005
", Nigerian Used  ," 976,250                                        
                                    "
2003 Honda Accord," 235,548Km
"," 2003
", Nigerian Used  ," 757,500                                        
                                    "
2014 Ford Focus," 59,417Km
"," 2014
", Nigerian Used  ," 1,390,000                                        
                                    "
Jeep Wrangler 2018," 68Km
"," 2018
", New  ," 35,000,000                                        
                                    "
2011 Nissan Altima," 112,419Km
"," 2011
", Foreign Used  ," 1,390,000                                        
                                    "
Isuzu NQR 2020," 2020
"," NG-540684
", New  ," 16,500,000                                        
                                    "
2004 Lexus Gx," 189,692Km
"," 2004
", Nigerian Used  ," 2,885,000                                        
                                    "
2015 Ford Focus," 78,201Km
"," 2015
", Nigerian Used  ," 3,460,000                                        
                                    "
2013 Toyota Corolla," 71,461Km
"," 2013
", Foreign Used  ," 4,150,000                                        
                                    "
1998 Toyota Land Cruiser," 166,643Km
"," 1998
", Nigerian Used  ," 3,000,000                                        
                                    "
2015 Toyota Camry," 85,151Km
"," 2015
", Foreign Used  ," 6,105,000                                        
                                    "
2017 Mercedes-Benz GLA250," 86,671Km
"," 2017
", Foreign Used  ," 17,260,000                                        
                                    "
2006 Kia Rio," 110,100Km
"," 2006
", Nigerian Used  ," 700,000                                        
                                    "
2007 Honda Ridgeline," 128,091Km
"," 2007
", Nigerian Used  ," 1,620,000                                        
                                    "
2009 Mercedes-Benz E350," 191,468Km
"," 2009
", Foreign Used  ," 3,957,500                                        
                                    "
2005 Lexus ES 330," 118,628Km
"," 2005
", Nigerian Used  ," 2,172,000                                        
                                    "
1990 Honda Accord," 231,303Km
"," 1990
", Nigerian Used  ," 245,000                                        
                                    "
2010 Honda Accord," 97,423Km
"," 2010
", Foreign Used  ," 3,575,000                                        
                                    "
2006 Honda Odyssey," 147,033Km
"," 2006
", Nigerian Used  ," 2,607,500                                        
                                    "
2007 Nissan Murano," 165,230Km
"," 2007
", Nigerian Used  ," 1,390,000                                        
                                    "
2004 Lexus Gx," 148,673Km
"," 2004
", Nigerian Used  ," 2,607,500                                        
                                    "
2001 Jaguar S-Type," 253,366Km
"," 2001
", Nigerian Used  ," 815,000                                        
                                    "
2002 Hyundai Santa Fe," 193,206Km
"," 2002
", Nigerian Used  ," 700,000                                        
                                    "
2002 Lexus Rx 300," 188,677Km
"," 2002
", Nigerian Used  ," 1,505,000                                        
                                    "
2004 Fiat ducato," 319,568Km
"," 2004
", Nigerian Used  ," 1,620,000                                        
                                    "
2011 BMW X3," 211,744Km
"," 2011
", Foreign Used  ," 7,140,000                                        
                                    "
2006 Acura Mdx," 220,199Km
"," 2006
", Nigerian Used  ," 1,332,500                                        
                                    "
2006 Nissan Armada," 78,005Km
"," 2006
", Nigerian Used  ," 1,735,000                                        
                                    "
2003 Lexus Gx," 132,004Km
"," 2003
", Nigerian Used  ," 2,832,500                                        
                                    "
2014 Mitsubishi L200," 201,577Km
"," 2014
", Nigerian Used  ," 2,885,000                                        
                                    "
2006 Lexus Rx," 194,849Km
"," 2006
", Nigerian Used  ," 2,270,000                                        
                                    "
2009 Hyundai Sonata," 175,201Km
"," 2009
", Nigerian Used  ," 1,595,000                                        
                                    "
2013 Lexus Es 350," 70,006Km
"," 2013
", Nigerian Used  ," 6,770,000                                        
                                    "
1996 Toyota 4Runner," 206,641Km
"," 1996
", Nigerian Used  ," 700,000                                        
                                    "
2012 Toyota Camry," 70,403Km
"," 2012
", Foreign Used  ," 3,957,500                                        
                                    "
2017 Toyota Corolla," 36,185Km
"," 2017
", Foreign Used  ," 6,910,000                                        
                                    "
2018 Chevrolet Cruze," 123Km
"," 2018
", New  ," 11,800,000                                        
                                    "
2016 Mercedes-Benz GLE350," 28,427Km
"," 2016
", Nigerian Used  ," 18,410,000                                        
                                    "
2007 Lexus Gs 330," 88,421Km
"," 2007
", Nigerian Used  ," 2,540,000                                        
                                    "
2006 Chrysler Pacifica," 164,332Km
"," 2006
", Nigerian Used  ," 1,160,000                                        
                                    "
2007 Toyota Land Cruiser," 55,934Km
"," 2007
", Nigerian Used  ," 11,510,000                                        
                                    "
2013 Nissan Almera," 28,041Km
"," 2013
", Nigerian Used  ," 1,505,000                                        
                                    "
2005 Lexus ES 330," 86,198Km
"," 2005
", Nigerian Used  ," 2,080,000                                        
                                    "
1999 Toyota 4Runner," 1Km
"," 1999
", Nigerian Used  ," 863,750                                        
                                    "
2011 Volkswagen Jetta," 163,110Km
"," 2011
", Foreign Used  ," 3,460,000                                        
                                    "
2008 Mercedes-Benz C300," 350,155Km
"," 2008
", Nigerian Used  ," 2,270,000                                        
                                    "
2012 Volvo S60," 184,756Km
"," 2012
", Foreign Used  ," 3,395,000                                        
                                    "
2004 Honda Accord," 265,693Km
"," 2004
", Nigerian Used  ," 930,000                                        
                                    "
2002 Toyota Avalon," 180,243Km
"," 2002
", Nigerian Used  ," 930,000                                        
                                    "
2004 Nissan Pathfinder," 202,573Km
"," 2004
", Nigerian Used  ," 1,045,000                                        
                                    "
2007 Lexus Es 350," 90,884Km
"," 2007
", Nigerian Used  ," 2,885,000                                        
                                    "
