,car_name,model,Mileage,Year,Condition,Price
2401,20,78,140309.0,2013,0,9315000
2402,20,355,172709.0,2013,0,4765000
2403,14,54,114936.0,2010,0,8265000
2404,20,215,123938.5,2012,0,8265000
2405,20,355,96091.0,2013,0,8265000
2406,20,78,75422.0,2009,0,10725000
2407,0,222,221505.0,2009,0,11315000
2408,20,78,176996.0,2012,0,4865000
2409,20,190,74479.0,2013,0,8815000
2410,20,78,116368.2,2010,0,4865000
2411,20,97,134462.0,2008,0,2815000
2412,20,190,20820.0,2016,0,15015000
2413,20,259,69601.0,2012,2,25015000
2414,11,146,82310.0,2010,0,3515000
2415,12,168,250414.9,2005,0,5815000
2416,12,211,31504.0,2017,2,42515000
2417,12,120,370921.0,2007,0,4415000
2418,12,120,194550.0,2008,0,4645000
2419,20,309,68326.0,2011,0,5515000
2420,1,265,201050.0,2008,0,5685000
2421,12,279,118888.0,2007,0,5115000
2422,12,279,137471.0,2010,0,7765000
2423,14,54,857506.0,2010,0,5315000
2424,12,120,72443.0,2011,0,50015000
2425,20,190,68453.0,2013,0,5015000
2426,12,279,57451.0,2004,0,7115000
2427,14,166,165901.0,2012,0,4815000
2428,20,309,68208.0,2012,0,8515000
2429,12,279,203162.0,2010,0,7615000
2430,12,279,109763.4,2013,0,3515000
2431,14,223,243717.0,2012,0,11315000
2432,20,275,83554.0,2013,0,8015000
2433,20,97,63380.0,2016,0,7015000
2434,8,301,146372.0,2013,0,8515000
2435,12,120,98219.0,2013,0,9015000
2436,20,190,48415.0,2016,0,13515000
2437,14,54,91406.0,2014,0,13015000
2438,14,54,48013.0,2015,0,13015000
2439,20,78,72283.0,2012,0,5015000
2440,12,211,35751.0,2011,0,30015000
2441,20,214,52310.0,2011,0,14515000
2442,18,358,193892.0,2006,0,2515000
2443,20,78,282613.0,2006,0,2797500
2444,20,97,71584.0,2015,0,6515000
2445,20,78,112019.0,2012,0,5680000
2446,20,78,98697.0,2015,0,8770000
2447,20,190,106800.0,2013,0,9285000
2448,12,211,21204.0,2018,0,6215000
2449,20,78,140309.0,2013,0,9315000
2450,20,355,172709.0,2013,0,4765000
2451,14,54,114936.0,2010,0,8265000
2452,20,215,123938.5,2012,0,8265000
2453,20,355,96091.0,2013,0,8265000
2454,20,78,75422.0,2009,0,10725000
2455,0,222,221505.0,2009,0,11315000
2456,20,78,176996.0,2012,0,8015000
