,car_name,model,Mileage,Year,Condition,Price
5633,lexus,ES,370921.0,2007,Foreign Used,4415000
5634,lexus,ES,194550.0,2008,Foreign Used,4645000
5635,toyota,Sienna,68326.0,2011,Foreign Used,5515000
5636,audi,Q7,201050.0,2008,Foreign Used,5685000
5637,lexus,RX,118888.0,2007,Foreign Used,5115000
5638,lexus,RX,137471.0,2010,Foreign Used,7765000
5639,mercedes-benz,C,857506.0,2010,Foreign Used,5315000
5640,lexus,ES,72443.0,2011,Foreign Used,50015000
5641,toyota,Highlander,68453.0,2013,Foreign Used,5015000
5642,lexus,RX,57451.0,2004,Foreign Used,7115000
5643,mercedes-benz,GLK,165901.0,2012,Foreign Used,4815000
5644,toyota,Sienna,68208.0,2012,Foreign Used,8265000
5645,lexus,RX,203162.0,2010,Foreign Used,8265000
5646,lexus,RX,109763.4,2013,Foreign Used,10725000
5647,mercedes-benz,ML,243717.0,2012,Foreign Used,11315000
5648,toyota,RAV,83554.0,2013,Foreign Used,8015000
5649,toyota,Corolla,63380.0,2016,Foreign Used,7015000
5650,hyundai,Santa,146372.0,2013,Foreign Used,8515000
5651,lexus,ES,98219.0,2013,Foreign Used,9015000
5652,toyota,Highlander,48415.0,2016,Foreign Used,13515000
5653,mercedes-benz,C,91406.0,2014,Foreign Used,13015000
5654,mercedes-benz,C,48013.0,2015,Foreign Used,13015000
5655,toyota,Camry,72283.0,2012,Foreign Used,5015000
5656,lexus,LX,35751.0,2011,Foreign Used,30015000
5657,toyota,Landcruiser,52310.0,2011,Foreign Used,14515000
5658,pontiac,Vibe,193892.0,2006,Foreign Used,2515000
5659,toyota,Camry,282613.0,2006,Foreign Used,2797500
5660,toyota,Corolla,71584.0,2015,Foreign Used,6515000
5661,toyota,Camry,112019.0,2012,Foreign Used,5680000
5662,toyota,Camry,98697.0,2015,Foreign Used,8770000
5663,toyota,Highlander,106800.0,2013,Foreign Used,9285000
5664,lexus,LX,21204.0,2018,Foreign Used,6215000
5665,toyota,Camry,140309.0,2013,Foreign Used,9315000
5666,toyota,Venza,172709.0,2013,Foreign Used,4765000
5667,mercedes-benz,C,114936.0,2010,Foreign Used,8265000
5668,toyota,Lexus,123938.5,2012,Foreign Used,8265000
5669,toyota,Venza,96091.0,2013,Foreign Used,8265000
5670,toyota,Camry,75422.0,2009,Foreign Used,3515000
5671,acura,MDX,221505.0,2009,Foreign Used,4215000
5672,toyota,Camry,176996.0,2012,Foreign Used,4865000
5673,toyota,Highlander,74479.0,2013,Foreign Used,8815000
5674,toyota,Camry,116368.2,2010,Foreign Used,4865000
